,0,1,2,3,4,5,6,7,8,9
198_rural,0.11128097,0.10798302,0.59855014,0.22705324,0.3829056,0.08103439,-0.4089976,0.5600614,-1.0077786,0.47593573
198_town,-0.739639,0.92335606,-2.447001,0.46819398,-2.0207276,-3.3938935,0.8842784,-1.4969783,-1.7896135,-1.9909031
199_city,-0.3801237,-0.17813928,-0.9974754,-0.10143294,-1.5962944,-2.581109,1.8515971,-1.1674364,-0.40754446,-0.8225019
199_rural,-0.68630373,0.36518472,-1.7435783,0.39299852,-0.56506443,-1.5852128,0.6757687,-0.43466783,-0.6593228,-1.7925501
199_town,-0.628235,0.7080069,-2.4629874,0.19888198,-1.2266238,-2.5577102,0.80159885,-1.0464152,-0.14076301,-1.7604485
19_city,0.456964,0.5521137,-0.023535283,0.09382405,-0.84728056,-0.5307729,-0.10734405,0.17174804,-1.288528,-0.6495068
19_rural,-0.020075059,1.2485657,-0.9393082,-0.1030934,-1.037685,-1.5306879,0.26462588,-0.429201,-1.9147934,-2.1504068
203_city,-0.21603101,0.4111858,1.4105059,-0.07927097,-1.0092351,-0.93030643,-0.5353863,-1.1150856,0.54033,1.0055152
203_rural,0.1013703,0.3637781,0.06487844,-1.4104474,0.16779615,-0.0882289,-0.20403516,-0.54326946,0.11833428,-0.55493593
203_town,0.47212085,0.5257688,-0.6541336,-0.95466864,-0.039694726,-0.18354616,-0.6392152,-0.5882288,1.166334,-0.0061348476
204_city,-0.41018388,0.18245746,-1.0362692,-1.0682474,-1.5977982,-2.7934198,1.0703535,-1.383661,-0.9732502,-1.2095916
204_rural,0.54029673,0.6825845,0.5165828,-0.99029326,0.2594678,0.48412475,-0.39638585,-0.73877805,0.044392936,-0.15245281
204_town,0.40223894,1.8851559,-0.48624155,-1.0852306,-1.0531486,-2.594555,0.3374648,-0.95709896,-0.5327937,-1.6949211
205_city,0.4509592,-0.9018069,0.19735028,-1.1330674,-0.054797515,1.975038,-0.75479466,-0.8224484,0.55425084,2.2228565
205_rural,0.7232234,-0.4660718,-0.2487321,-1.3491743,1.0908008,3.0436068,-0.59632605,0.1421432,0.20395246,1.5381455
205_town,-0.7339368,0.6400447,-1.7372065,-1.2713412,0.13126269,-1.5868144,-0.009821999,-0.75393605,0.12814449,-0.13620532
