,0,1,2,3,4,5,6,7,8,9
186_city,1.3777196,0.5038327,1.0438433,-0.19453277,1.2053775,0.90086997,0.91971433,-2.7269714,-0.7238123,-0.20551357
186_rural,1.7308073,2.2823873,1.0578014,1.0786548,5.3958883,0.41846618,1.7101048,-4.692026,-1.7811067,-1.3551308
186_town,-2.164093,4.1795654,0.5065017,0.20643845,1.4469123,2.4717543,2.7689383,-1.606839,0.4003104,-0.523917
187_city,0.3302969,2.1306324,1.2996367,-1.049323,0.34909305,0.91644335,1.6105559,-1.9850779,-1.8522836,-0.3610192
187_town,-3.6423004,5.363679,0.97680134,-1.5871521,-1.3205639,2.8133676,3.2517943,0.606848,0.63130164,0.027898794
188_city,-2.3622634,1.1903062,1.8669914,-1.493889,-0.36855012,0.77774465,1.7872318,-1.0528126,-0.13613634,-0.8872506
188_rural,-3.0507112,3.310732,0.6880444,-0.91199666,0.49417776,2.7473013,3.7200909,-0.26481536,0.72496665,-1.4223813
188_town,-2.809941,3.407662,0.072344355,-0.4383816,0.89814895,1.7323047,2.1206288,-1.3635951,1.0081985,-0.065190785
189_city,-5.5750813,5.365101,2.0197272,-0.3228575,-2.144176,3.1305585,4.8001685,1.9418677,2.1983802,0.3475175
189_rural,0.74519306,2.6800041,0.75572765,-0.15892226,2.8454204,0.85101014,1.5879571,-3.0376916,-1.3374839,-0.8426091
189_town,0.28783205,1.3548735,-0.16956927,0.34283182,3.2140949,0.18377542,1.2908803,-2.521984,-0.3553963,-0.9271308
18_city,5.7821393,-1.3841928,0.7061229,0.53718805,4.204577,-1.7146637,-1.7109176,-4.552559,-3.3720164,0.66820633
18_rural,2.0714047,0.41833606,-0.49032974,-0.5259637,1.6550192,0.10035456,-0.8509411,-1.3226135,-2.6440415,-0.7856738
18_town,3.3783114,0.417856,-0.6413121,-0.009700053,3.1089427,-0.5754023,-0.7151046,-1.782416,-1.8220416,0.417869
193_city,-1.2759345,3.8024473,1.7822493,-0.72374076,1.110675,1.9952018,3.0548434,-2.6685495,0.38632116,-0.68261516
193_town,7.273912,-9.876207,-1.3617389,-4.423325,-7.547173,-6.277549,-12.668843,6.250048,-1.3704834,-2.1130164
194_city,-1.4733466,1.952293,1.5313636,-1.8612908,-1.2047846,1.5415103,2.5942602,-0.22499144,-0.18488356,-0.107894786
194_rural,4.215989,-1.7255871,0.23755711,0.22810067,3.7766247,-0.76958805,-1.8196008,-3.0139737,-2.1018405,-2.2783628
194_town,0.810272,1.4063418,-0.117229775,-0.2478541,1.6237421,-0.7303012,-0.26142988,-1.8255484,-0.5626304,-0.64100575
195_city,1.7162398,-1.9311459,-0.078690216,-2.665777,-4.161374,-1.4343374,-2.582394,1.4801276,-0.45840335,0.06766298
195_rural,-1.9882383,4.4987755,0.7082659,-0.030700251,0.88013786,2.2627182,3.1686292,-1.0621623,-0.5578738,-0.63337135
195_town,-2.9405775,3.2696857,0.18584873,-1.940159,-2.3939023,1.0708699,0.5423231,1.8023767,0.2960095,0.4067179
198_city,-9.648244,8.269904,2.230869,-0.8740422,-4.5706587,5.4121017,6.6230083,4.932177,3.4764113,-0.26037258
198_rural,1.4362972,-0.56167644,0.23390755,-0.49984327,0.083693676,-0.42084324,-1.9027442,0.4023607,-1.1120515,-0.853922
198_town,-6.3813667,6.604957,1.6384926,-1.4179698,-2.8888829,3.800817,4.534088,2.3941112,2.0680304,-0.16914196
199_city,-3.9743104,5.2684903,2.307747,-0.6992879,-2.2295349,3.220333,4.331627,-0.028265899,1.0622525,-0.29968995
